
VERSION 1
1) C
2) A
3) C
4) C
5) B
6) D
7) B
8) A
9) E
10) B
11) A
12) A
13) B
14) A
15) D
16) D
17) C
18) D
19) A
20) C
21) E
22) C
23) D
24) B
25) B
26) B
27) D
28) C
29) D
30) B

VERSION 2
1) E
2) C
3) B
4) E
5) A
6) D
7) A
8) E
9) D
10) A
11) B
12) B
13) A
14) D
15) C
16) A
17) B
18) A
19) D
20) C
21) A
22) A
23) D
24) B
25) E
26) C
27) B
28) B
29) A
30) C

VERSION 3
1) C
2) B
3) A
4) C
5) C
6) B
7) C
8) C
9) D
10) A
11) A
12) A
13) C
14) D
15) C
16) A
17) B
18) B
19) B
20) B
21) B
22) A
23) B
24) E
25) C
26) C
27) A
28) B
29) D
30) E

VERSION 4
1) D
2) B
3) D
4) A
5) C
6) B
7) B
8) C
9) E
10) A
11) D
12) C
13) B
14) C
15) B
16) A
17) E
18) A
19) B
20) D
21) A
22) C
23) B
24) B
25) E
26) A
27) B
28) C
29) A
30) E

VERSION 5
1) D
2) C
3) A
4) B
5) C
6) A
7) A
8) B
9) A
10) B
11) A
12) D
13) E
14) C
15) B
16) D
17) B
18) A
19) E
20) C
21) B
22) A
23) B
24) C
25) C
26) D
27) E
28) B
29) C
30) C

VERSION 6
1) A
2) B
3) B
4) C
5) B
6) C
7) A
8) C
9) A
10) B
11) D
12) B
13) A
14) E
15) B
16) C
17) C
18) B
19) A
20) A
21) E
22) B
23) A
24) B
25) B
26) D
27) B
28) C
29) D
30) D

VERSION 7
1) B
2) B
3) A
4) A
5) E
6) A
7) A
8) D
9) A
10) D
11) C
12) C
13) C
14) D
15) B
16) B
17) D
18) D
19) A
20) D
21) D
22) D
23) D
24) B
25) B
26) C
27) B
28) A
29) D
30) C

VERSION 8
1) D
2) B
3) A
4) B
5) B
6) A
7) C
8) B
9) B
10) D
11) A
12) A
13) D
14) C
15) B
16) E
17) B
18) C
19) D
20) A
21) A
22) C
23) B
24) B
25) C
26) D
27) E
28) A
29) E
30) E
